"case_id","workbook","sheet_name","baseline_exists","candidate_exists","baseline_rows","candidate_rows","baseline_columns","candidate_columns","same_column_names","baseline_read_error","candidate_read_error"
"M01","technical_report","Raw candidate enrichment",TRUE,TRUE,1973,1973,13,13,TRUE,,
"M01","technical_report","Session info",TRUE,TRUE,45,45,1,1,TRUE,,
"P01","analytical_report","Executive summary",TRUE,TRUE,12,12,3,3,TRUE,,
"P01","analytical_report","Final priorities",TRUE,TRUE,15,15,7,7,TRUE,,
"P01","analytical_report","Major module priorities",TRUE,TRUE,5,5,29,29,TRUE,,
"P01","analytical_report","Candidate rationale",TRUE,TRUE,311,311,51,51,TRUE,,
"P01","analytical_report","Top candidates",TRUE,TRUE,30,30,27,27,TRUE,,
"P01","analytical_report","Graph summary",TRUE,TRUE,14,14,3,3,TRUE,,
"P01","analytical_report","All modules",TRUE,TRUE,74,74,48,48,TRUE,,
"P01","analytical_report","Top degree",TRUE,TRUE,30,30,22,22,TRUE,,
"P01","analytical_report","Top betweenness",TRUE,TRUE,30,30,22,22,TRUE,,
"P01","analytical_report","Top stress",TRUE,TRUE,30,30,22,22,TRUE,,
"P01","analytical_report","Degree distribution",TRUE,TRUE,46,46,4,4,TRUE,,
"P01","technical_report","Mapping summary",TRUE,TRUE,8,8,2,2,TRUE,,
"P01","technical_report","Gene status",TRUE,TRUE,397,397,10,10,TRUE,,
"P01","technical_report","Alias corrections",TRUE,TRUE,85,85,4,4,TRUE,,
"P01","technical_report","Unmapped genes",TRUE,TRUE,85,85,1,1,TRUE,,
"P01","technical_report","HGNC normalization",TRUE,TRUE,397,397,3,3,TRUE,,
"P01","technical_report","Genes used table",TRUE,TRUE,312,312,6,6,TRUE,,
"P01","technical_report","Raw node metrics",TRUE,TRUE,311,311,43,43,TRUE,,
"P01","technical_report","Raw all modules",TRUE,TRUE,74,74,48,48,TRUE,,
"P01","technical_report","Raw major modules",TRUE,TRUE,5,5,49,49,TRUE,,
"P01","technical_report","Top module enrichment",TRUE,TRUE,50,50,14,14,TRUE,,
"P01","technical_report","Top network enrichment",TRUE,TRUE,25,25,13,13,TRUE,,
"P01","technical_report","Top candidate enrichment",TRUE,TRUE,25,25,13,13,TRUE,,
"P01","technical_report","Raw module enrichment",TRUE,TRUE,7331,7264,14,14,TRUE,,
"P01","technical_report","Raw network enrichment",TRUE,TRUE,5417,5417,13,13,TRUE,,
"P01","technical_report","Raw candidate enrichment",TRUE,TRUE,1980,1980,13,13,TRUE,,
"P01","technical_report","Session info",TRUE,TRUE,45,45,1,1,TRUE,,
"P02","analytical_report","Executive summary",TRUE,TRUE,12,12,3,3,TRUE,,
"P02","analytical_report","Final priorities",TRUE,TRUE,15,15,7,7,TRUE,,
"P02","analytical_report","Major module priorities",TRUE,TRUE,5,5,29,29,TRUE,,
"P02","analytical_report","Candidate rationale",TRUE,TRUE,285,285,51,51,TRUE,,
"P02","analytical_report","Top candidates",TRUE,TRUE,30,30,27,27,TRUE,,
"P02","analytical_report","Graph summary",TRUE,TRUE,14,14,3,3,TRUE,,
"P02","analytical_report","All modules",TRUE,TRUE,77,77,48,48,TRUE,,
"P02","analytical_report","Top degree",TRUE,TRUE,30,30,22,22,TRUE,,
"P02","analytical_report","Top betweenness",TRUE,TRUE,30,30,22,22,TRUE,,
"P02","analytical_report","Top stress",TRUE,TRUE,30,30,22,22,TRUE,,
"P02","analytical_report","Degree distribution",TRUE,TRUE,36,36,4,4,TRUE,,
"P02","technical_report","Mapping summary",TRUE,TRUE,8,8,2,2,TRUE,,
"P02","technical_report","Gene status",TRUE,TRUE,398,398,10,10,TRUE,,
"P02","technical_report","Alias corrections",TRUE,TRUE,113,113,4,4,TRUE,,
"P02","technical_report","Unmapped genes",TRUE,TRUE,113,113,1,1,TRUE,,
"P02","technical_report","HGNC normalization",TRUE,TRUE,398,398,3,3,TRUE,,
"P02","technical_report","Genes used table",TRUE,TRUE,285,285,6,6,TRUE,,
"P02","technical_report","Raw node metrics",TRUE,TRUE,285,285,43,43,TRUE,,
"P02","technical_report","Raw all modules",TRUE,TRUE,77,77,48,48,TRUE,,
"P02","technical_report","Raw major modules",TRUE,TRUE,5,5,49,49,TRUE,,
"P02","technical_report","Top module enrichment",TRUE,TRUE,43,50,14,14,TRUE,,
"P02","technical_report","Top network enrichment",TRUE,TRUE,25,25,13,13,TRUE,,
"P02","technical_report","Top candidate enrichment",TRUE,TRUE,25,25,13,13,TRUE,,
"P02","technical_report","Raw module enrichment",TRUE,TRUE,6222,6897,14,14,TRUE,,
"P02","technical_report","Raw network enrichment",TRUE,TRUE,5201,5201,13,13,TRUE,,
"P02","technical_report","Raw candidate enrichment",TRUE,TRUE,1778,1778,13,13,TRUE,,
"P02","technical_report","Session info",TRUE,TRUE,45,45,1,1,TRUE,,
"R01","analytical_report","Executive summary",TRUE,TRUE,12,12,3,3,TRUE,,
"R01","analytical_report","Final priorities",TRUE,TRUE,15,15,7,7,TRUE,,
"R01","analytical_report","Major module priorities",TRUE,TRUE,5,5,29,29,TRUE,,
"R01","analytical_report","Candidate rationale",TRUE,TRUE,358,358,51,51,TRUE,,
"R01","analytical_report","Top candidates",TRUE,TRUE,30,30,27,27,TRUE,,
"R01","analytical_report","Graph summary",TRUE,TRUE,14,14,3,3,TRUE,,
"R01","analytical_report","All modules",TRUE,TRUE,47,48,48,48,TRUE,,
"R01","analytical_report","Top degree",TRUE,TRUE,30,30,22,22,TRUE,,
"R01","analytical_report","Top betweenness",TRUE,TRUE,30,30,22,22,TRUE,,
"R01","analytical_report","Top stress",TRUE,TRUE,30,30,22,22,TRUE,,
"R01","analytical_report","Degree distribution",TRUE,TRUE,88,88,4,4,TRUE,,
"R01","technical_report","Mapping summary",TRUE,TRUE,8,8,2,2,TRUE,,
"R01","technical_report","Gene status",TRUE,TRUE,398,398,10,10,TRUE,,
"R01","technical_report","Alias corrections",TRUE,TRUE,40,40,4,4,TRUE,,
"R01","technical_report","Unmapped genes",TRUE,TRUE,40,40,1,1,TRUE,,
"R01","technical_report","HGNC normalization",TRUE,TRUE,398,398,3,3,TRUE,,
"R01","technical_report","Genes used table",TRUE,TRUE,358,358,6,6,TRUE,,
"R01","technical_report","Raw node metrics",TRUE,TRUE,358,358,43,43,TRUE,,
"R01","technical_report","Raw all modules",TRUE,TRUE,47,48,48,48,TRUE,,
"R01","technical_report","Raw major modules",TRUE,TRUE,5,5,49,49,TRUE,,
"R01","technical_report","Top module enrichment",TRUE,TRUE,50,50,14,14,TRUE,,
"R01","technical_report","Top network enrichment",TRUE,TRUE,25,25,13,13,TRUE,,
"R01","technical_report","Top candidate enrichment",TRUE,TRUE,25,25,13,13,TRUE,,
"R01","technical_report","Raw module enrichment",TRUE,TRUE,10807,10201,14,14,TRUE,,
"R01","technical_report","Raw network enrichment",TRUE,TRUE,6740,6740,13,13,TRUE,,
"R01","technical_report","Raw candidate enrichment",TRUE,TRUE,2107,2107,13,13,TRUE,,
"R01","technical_report","Session info",TRUE,TRUE,45,45,1,1,TRUE,,
